Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
[6]		[16]		0.2694701783467647
[6]		[17]		0.36370602961218973
[6]		[18]		0.19697103541654926
[6]		[19]		0.2895616245632511
[7]		[8]		0.46422590182341567
[7]		[9]		0.36731221203000497
[7]		[10]		0.40076728358530384
[7]		[11]		0.4325622548207541
[7]		[12]		0.5366975340150814
[7]		[13]		0.31018250233551525
[7]		[14]		0.44572292608548914
[7]		[15]		0.2987881240815662
[7]		[16]		0.3838056618247718
[7]		[17]		0.5180255353723542
[7]		[18]		0.2805453244294664
[7]		[19]		0.412421855495792
[8]		[9]		0.4494588876182677
[8]		[10]		0.49039593995129993
[8]		[11]		0.529301622733698
[8]		[12]		0.6567259914739255
[8]		[13]		0.37955253839200676
[8]		[14]		0.5454055813640587
[8]		[15]		0.36560989121777293
[8]		[16]		0.4696409761929271
[8]		[17]		0.6338781376190574
[8]		[18]		0.3432872235521362
[8]		[19]		0.5046569711803057
[9]		[10]		0.38801888642259247
[9]		[11]		0.41880246042656133
[9]		[12]		0.5196251990214098
[9]		[13]		0.30031560477511315
[9]		[14]		0.4315444910709598
[9]		[15]		0.28928368140546507
[9]		[16]		0.3715968134216112
[9]		[17]		0.5015471561836317
[9]		[18]		0.27162118474926894
[9]		[19]		0.3993027266951408
[10]		[11]		0.456947302395391
[10]		[12]		0.5669530515834629
[10]		[13]		0.32766857513076125
[10]		[14]		0.47084988674044714
[10]		[15]		0.31563185591268644
[10]		[16]		0.40544212968276916
[10]		[17]		0.5472284470553583
[10]		[18]		0.2963606458238153
[10]		[19]		0.43567151830155926
[11]		[12]		0.6119324116891139
[11]		[13]		0.35366424231157795
[11]		[14]		0.5082048785731101
[11]		[15]		0.34067258700719355
[11]		[16]		0.4376079809857472
[11]		[17]		0.5906429507985058
[11]		[18]		0.3198724907154207
[11]		[19]		0.47023562560238535
[12]		[13]		0.4388055698400919
[12]		[14]		0.6305504053229183
[12]		[15]		0.42268629617039466
[12]		[16]		0.5429579711195377
